Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA
SP1,11/02/2007,Getafe,Valencia,3,0,H,0,0,D,16,13,5,5,8,16,8,6,3,2,0,0,2.87,3.2,2.4,2.7,3.15,2.4,2.9,3.1,2.45,2.65,3,2.55,2.6,3.2,2.37,2.75,3.1,2.4,2.75,3.1,2.3,2.75,3.2,2.38,2.65,3.1,2.35,46,2.95,2.76,3.2,3.12,2.55,2.4
SP1,11/02/2007,Gimnastic,Osasuna,2,3,A,1,1,D,13,12,8,4,19,19,5,2,2,3,0,0,2.7,3.25,2.5,2.65,3.15,2.45,2.7,3.2,2.55,2.7,3.1,2.4,2.5,3.2,2.5,2.6,3.2,2.5,2.6,3.1,2.4,2.5,3.2,2.6,2.6,3.2,2.4,46,2.85,2.65,3.25,3.15,2.6,2.49
SP1,11/02/2007,Levante,Recreativo,2,1,H,2,0,H,6,12,3,2,26,9,2,5,5,0,1,0,2.4,3.2,2.87,2.5,3.15,2.6,2.5,3.1,2.85,2.55,3.1,2.55,2.37,3.2,2.6,2.4,3.1,2.75,2.37,3.1,2.62,2.38,3.2,2.75,2.35,3.1,2.6,45,2.55,2.42,3.25,3.14,2.9,2.73
SP1,11/02/2007,Mallorca,Zaragoza,2,1,H,0,0,D,16,13,4,3,18,18,6,3,5,5,0,0,2.75,3.2,2.5,2.8,3.15,2.35,2.8,3.1,2.5,2.7,3.1,2.4,2.75,3,2.37,2.75,3.1,2.4,2.6,3.1,2.4,2.88,3.2,2.25,2.65,3.1,2.35,46,2.9,2.73,3.25,3.14,2.55,2.43
SP1,11/02/2007,Villarreal,La Coruna,0,2,A,0,1,A,16,11,5,4,15,19,6,3,2,2,0,0,2.1,3.2,3.5,1.88,3.25,3.8,2.1,3.2,3.5,1.9,3.2,3.6,1.83,3,4,2.05,3.2,3.3,1.9,3.2,3.5,1.91,3.2,3.75,2,3.2,3.25,46,2.15,2,3.25,3.17,4,3.53
SP1,17/02/2007,Real Madrid,Betis,0,0,D,0,0,D,19,20,5,5,20,23,5,7,5,6,1,0,1.53,3.8,6,1.52,3.6,6,1.52,3.7,6.5,1.55,3.5,5.5,1.44,3.6,6.5,1.5,3.75,6,1.44,3.6,6.5,1.5,3.6,6.5,1.45,3.6,6.5,47,1.6,1.51,3.8,3.58,7,6.28
SP1,17/02/2007,Zaragoza,Villarreal,1,0,H,1,0,H,15,16,9,3,20,12,9,7,3,1,0,0,1.9,3.25,4,1.85,3.35,3.8,1.85,3.3,4.2,1.85,3.1,4,1.72,3.2,4.33,1.91,3.25,3.75,1.8,3.1,4,1.95,3.2,3.6,1.75,3.25,4,47,1.95,1.85,3.35,3.21,4.4,4
SP1,18/02/2007,Ath Bilbao,Getafe,2,0,H,1,0,H,10,8,4,3,22,12,2,8,4,3,0,0,2.4,3.2,2.87,2.3,3.15,2.85,2.35,3.2,2.9,2.2,3,3.1,2.25,3.2,2.75,2.3,3.1,2.9,2.37,3.1,2.62,2.3,3.2,2.8,2.3,3.1,2.7,47,2.45,2.34,3.3,3.11,3.1,2.84
SP1,18/02/2007,Espanol,Mallorca,3,1,H,1,1,D,11,14,3,5,20,29,4,5,2,1,0,0,2,3.2,3.75,1.95,3.2,3.6,2,3.2,3.7,2,3.1,3.4,1.83,3.2,3.75,1.91,3.2,3.75,1.9,3.1,3.6,2.1,3.2,3.2,1.85,3.2,3.75,47,2.1,1.98,3.25,3.19,3.8,3.57
SP1,18/02/2007,La Coruna,Levante,0,0,D,0,0,D,12,11,0,4,21,20,4,4,1,4,0,0,1.8,3.2,4.75,1.75,3.4,4.25,1.8,3.3,4.5,1.7,3.2,4.7,1.66,3.3,4.5,1.7,3.4,4.5,1.72,3.2,4.33,1.83,3.2,4.2,1.75,3.25,4,47,1.9,1.76,3.4,3.27,5,4.45
