Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,03/10/2004,Santander,Sevilla,0,0,D,0,0,D,2.4,3.2,2.6,2.4,3.2,2.7,2.55,3.15,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.6
SP1,03/10/2004,Villarreal,Zaragoza,2,0,H,1,0,H,2.1,3.25,3,1.9,3.25,3.75,2.05,3.25,3.5,2,3,3.3,2.1,3.2,3,2.05,3.2,3.3,2,3.1,3.3
SP1,16/10/2004,Betis,Real Madrid,1,1,D,1,0,H,3.5,3.2,2.1,3.15,3.25,2.1,3.2,3.2,2.2,3.1,3,2.1,2.8,3.2,2.2,3.2,3.25,2.1,3,3.1,2.15
SP1,16/10/2004,Espanol,Barcelona,0,1,A,0,1,A,4.5,3.25,1.83,3.95,3.4,1.8,4.35,3.35,1.82,4.2,3.1,1.75,4,3.2,1.8,4.33,3.4,1.75,4.33,3.2,1.72
SP1,16/10/2004,La Coruna,Getafe,2,1,H,1,0,H,1.4,3.75,7.5,1.3,4.5,9,1.4,4,8.6,1.35,4,7,1.44,3.6,6.5,1.4,4,7.5,1.4,3.75,7
SP1,17/10/2004,Ath Bilbao,Malaga,1,0,H,1,0,H,1.8,3.25,4,1.85,3.2,4,1.85,3.3,4.25,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4,1.8,3.1,4
SP1,17/10/2004,Ath Madrid,Santander,1,0,H,1,0,H,1.57,3.4,5.5,1.45,3.75,7,1.6,3.5,6,1.45,3.8,5.4,1.62,3.25,5,1.53,3.6,6,1.57,3.3,5.5
SP1,17/10/2004,Mallorca,Villarreal,1,1,D,1,1,D,2.37,3.2,2.62,2.45,3.1,2.7,2.55,3.1,2.75,2.5,3,2.5,2.38,3,2.75,2.38,3.2,2.75,2.3,3.1,2.75
SP1,17/10/2004,Numancia,Levante,1,3,A,0,1,A,2.2,3,3.1,2.25,3.1,3,2.3,3.1,3.1,2.3,2.8,2.9,2.2,3.2,2.8,2.25,3.1,3,2.15,3.1,3
SP1,17/10/2004,Osasuna,Albacete,3,2,H,2,1,H,1.72,3.25,4.33,1.7,3.3,4.75,1.75,3.35,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.73,3.4,4.5,1.7,3.2,4.5
SP1,17/10/2004,Valencia,Sevilla,1,2,A,0,0,D,1.53,3.5,7,1.5,3.55,6.5,1.53,3.7,6.5,1.45,3.8,5.4,1.57,3.25,5.5,1.53,3.6,6,1.5,3.4,6
SP1,17/10/2004,Zaragoza,Sociedad,2,1,H,1,1,D,1.83,3.25,3.75,1.95,3.25,3.5,1.9,3.3,4,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.25,3.75,1.9,3.1,3.6
SP1,23/10/2004,Malaga,La Coruna,1,1,D,1,0,H,2.4,3.2,2.6,2.55,3.15,2.55,2.5,3.2,2.75,2.5,3,2.5,2.4,3.1,2.6,2.4,3.2,2.7,2.5,3.1,2.5
SP1,23/10/2004,Real Madrid,Valencia,1,0,H,1,0,H,2,3.25,3.5,1.95,3.25,3.55,2,3.25,3.7,1.85,3.1,3.6,1.91,3.2,3.5,2,3.2,3.5,1.9,3.25,3.4
SP1,24/10/2004,Albacete,Ath Bilbao,1,0,H,1,0,H,2.37,3.2,2.62,2.2,3.2,3,2.4,3.1,2.95,2.3,2.9,2.8,2.38,3,2.75,2.4,3.1,2.8,2.37,3.1,2.62
SP1,24/10/2004,Barcelona,Osasuna,3,0,H,2,0,H,1.33,4.5,9,1.3,4.7,8.25,1.3,4.8,10,1.35,4,7,1.3,4,9,1.33,4.5,8,1.33,4,8
SP1,24/10/2004,Getafe,Betis,0,2,A,0,0,D,2.25,3.2,2.8,2.1,3.2,3.2,2.25,3.2,3.1,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.2,2.88,2.25,3.1,2.8
SP1,24/10/2004,Levante,Espanol,0,2,A,0,0,D,2,3.2,3.3,2,3.25,3.4,2.1,3.25,3.4,2,3,3.3,1.91,3.2,3.5,2,3.25,3.4,2.15,3.1,3
SP1,24/10/2004,Santander,Zaragoza,1,0,H,1,0,H,2.25,3.2,2.8,2.3,3.2,2.8,2.35,3.2,2.9,2.3,3,2.7,2.38,3,2.75,2.38,3.1,2.8,2.2,3.1,2.87
SP1,24/10/2004,Sevilla,Ath Madrid,2,1,H,1,0,H,1.9,3.25,3.5,1.9,3.25,3.75,1.95,3.35,3.75,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.75,2,3.1,3.3
SP1,24/10/2004,Sociedad,Mallorca,2,1,H,1,0,H,1.8,3.25,4,1.9,3.25,3.75,1.83,3.25,4.5,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4,1.83,3.2,3.75
SP1,24/10/2004,Villarreal,Numancia,4,0,H,1,0,H,1.66,3.4,4.5,1.7,3.4,4.55,1.67,3.5,5.25,1.65,3.2,4.6,1.62,3.25,5,1.57,3.4,6,1.66,3.3,4.5
SP1,30/10/2004,Ath Bilbao,Barcelona,1,1,D,1,1,D,4,3.25,1.9,4,3.2,1.85,4,3.3,1.9,3.5,3.1,1.9,4,3.2,1.8,3.75,3.25,1.91,3.6,3.1,1.9
SP1,30/10/2004,Valencia,Ath Madrid,1,1,D,0,0,D,1.8,3.1,5,1.7,3.4,4.55,1.75,3.3,4.85,1.7,3.2,4.2,1.67,3.2,5,1.73,3.4,4.5,1.66,3.3,4.5
SP1,31/10/2004,Betis,Malaga,1,1,D,1,1,D,1.83,3.25,3.75,1.85,3.25,3.95,1.95,3.25,3.85,1.85,3.1,3.6,1.8,3.2,4,1.91,3.2,3.8,1.9,3,3.75
SP1,31/10/2004,Espanol,Villarreal,0,0,D,0,0,D,2,3.25,3.25,2,3.25,3.4,2.1,3.25,3.4,2,3.1,3.2,1.83,3,4,2.1,3.2,3.25,1.9,3.1,3.6
SP1,31/10/2004,La Coruna,Albacete,0,0,D,0,0,D,1.44,3.75,6.5,1.4,4,7.25,1.47,3.75,7.5,1.45,3.8,5.4,1.4,3.75,7,1.44,3.75,7,1.44,3.6,6.5
SP1,31/10/2004,Mallorca,Santander,1,2,A,0,1,A,2,3.25,3.25,2,3.25,3.4,2.1,3.2,3.4,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.25,1.95,3.1,3.5
SP1,31/10/2004,Numancia,Sociedad,0,2,A,0,0,D,2.37,3.2,2.62,2.35,3.2,2.75,2.5,3.2,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.2,2.7,2.3,3.1,2.75
SP1,31/10/2004,Osasuna,Levante,0,1,A,0,1,A,1.83,3.25,3.75,1.8,3.3,4.1,1.85,3.3,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.3,4.5,1.8,3.25,3.8
SP1,31/10/2004,Real Madrid,Getafe,2,0,H,1,0,H,1.2,5,12,1.2,5.5,11.5,1.2,5.85,13,1.2,5,10,1.2,5,11,1.2,5.5,12,1.16,5.5,12
SP1,31/10/2004,Zaragoza,Sevilla,3,0,H,2,0,H,2.25,3.25,2.75,2,3.25,3.4,2.35,3.25,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3.2,2.88,2.3,3.1,2.75
SP1,06/11/2004,Albacete,Betis,0,0,D,0,0,D,2.2,3.25,2.8,2.2,3.2,3,2.2,3.3,3.1,2.2,2.9,3,2.2,3,3,2.25,3.25,2.9,2.15,3.2,2.9
SP1,06/11/2004,Barcelona,La Coruna,2,1,H,2,1,H,1.53,3.6,7,1.55,3.5,5.75,1.61,3.45,5.85,1.6,3.4,4.6,1.57,3.25,5.5,1.57,3.6,5.5,1.57,3.3,5.5
SP1,07/11/2004,Ath Madrid,Zaragoza,1,1,D,0,1,A,1.8,3.25,4,1.85,3.25,3.95,1.85,3.3,4.3,1.8,3.1,3.8,1.8,3.2,4,1.83,3.3,4,1.72,3.2,4.33
SP1,07/11/2004,Getafe,Valencia,1,0,H,1,0,H,3.5,3.25,1.9,3.75,3.25,1.9,3.55,3.35,2,3.6,3,1.9,3.2,3.2,2,3.5,3.2,2,3.5,3.2,1.9
SP1,07/11/2004,Levante,Ath Bilbao,1,0,H,0,0,D,2,3.25,3.25,2,3.25,3.4,2.05,3.25,3.5,2,3,3.3,1.91,3.2,3.5,2.1,3.1,3.3,2.15,3.1,3
SP1,07/11/2004,Malaga,Real Madrid,0,2,A,0,1,A,3.25,3.25,2,3.7,3.4,1.85,3.65,3.3,1.97,3.3,3,2,3.2,3.2,2,3.5,3.2,2,3,3.2,2.1
SP1,07/11/2004,Santander,Numancia,2,0,H,0,0,D,1.66,3.4,4.5,1.75,3.35,4.3,1.7,3.35,5.1,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.4,5,1.7,3.2,4.5
SP1,07/11/2004,Sevilla,Mallorca,1,1,D,0,0,D,1.5,3.5,6,1.45,3.8,6.7,1.55,3.5,6.5,1.45,3.8,5.4,1.5,3.4,6,1.5,3.75,6,1.53,3.4,5.5
SP1,07/11/2004,Sociedad,Espanol,0,2,A,0,0,D,2,3.25,3.25,1.95,3.25,3.55,2.05,3.3,3.5,1.9,3,3.6,1.83,3.2,3.75,2.1,3.1,3.3,2,3.1,3.3
SP1,07/11/2004,Villarreal,Osasuna,3,0,H,2,0,H,1.83,3.25,3.75,1.85,3.25,3.95,1.85,3.3,4.2,1.85,3.1,3.6,1.73,3.2,4.33,1.91,3.25,3.75,1.9,3,3.75
SP1,13/11/2004,Ath Bilbao,Villarreal,2,1,H,0,0,D,2.1,3.25,3,2.1,3.2,3.2,2.15,3.2,3.3,2.2,2.9,3,1.91,3,3.75,2.2,3.1,3.1,1.95,3.2,3.3
SP1,13/11/2004,Espanol,Santander,2,1,H,1,0,H,1.8,3.25,4,1.8,3.3,4.1,1.85,3.3,4.3,1.8,3.1,3.8,1.8,3.2,4,1.85,3.25,4,1.72,3.2,4.33
SP1,13/11/2004,Getafe,Malaga,1,0,H,0,0,D,2.1,3.25,3,2,3.25,3.4,2.25,3.15,3.2,2.2,3,2.9,2,3.2,3.2,2.2,3.2,3,2.05,3.1,3.2
SP1,13/11/2004,La Coruna,Levante,1,0,H,0,0,D,1.66,3.6,5,1.7,3.4,4.55,1.7,3.4,5.1,1.7,3.2,4.2,1.73,3.2,4.33,1.62,3.5,5.2,1.61,3.3,5
SP1,13/11/2004,Numancia,Sevilla,2,1,H,0,0,D,2.8,3.25,2.2,3.05,3.2,2.15,3.35,3.25,2.1,2.9,3,2.2,3,3.2,2.1,3,3.25,2.2,2.9,3,2.25
SP1,13/11/2004,Osasuna,Sociedad,1,0,H,0,0,D,2.1,3.25,3,1.95,3.25,3.55,2.1,3.2,3.5,2.2,2.9,3,1.91,3.2,3.5,2.1,3.2,3.25,2,3.1,3.3
SP1,13/11/2004,Valencia,Zaragoza,0,0,D,0,0,D,1.72,3.25,4.33,1.6,3.5,5.2,1.73,3.4,4.75,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.4,5,1.61,3.3,5
SP1,14/11/2004,Betis,Barcelona,2,1,H,0,0,D,4.5,3.4,1.8,4.3,3.35,1.75,4.5,3.4,1.77,3.8,3,1.85,4.33,3.2,1.73,4.33,3.25,1.8,4,3.1,1.8
SP1,14/11/2004,Mallorca,Ath Madrid,1,1,D,1,0,H,2.37,3.2,2.62,2.55,3.2,2.5,2.5,3.1,2.8,2.7,3,2.3,2.38,3,2.75,2.5,3.2,2.6,2.5,3.1,2.5
SP1,14/11/2004,Real Madrid,Albacete,6,1,H,3,1,H,1.25,5.5,10,1.3,4.7,8.25,1.26,5.3,10.5,1.25,4.5,9,1.25,4.5,10,1.22,5.25,11,1.22,5,9.5
SP1,20/11/2004,Barcelona,Real Madrid,3,0,H,2,0,H,2.2,3.2,3.25,2.15,3.25,3.05,2.2,3.2,3.25,2.1,2.9,3.2,2,3.2,3.2,2.1,3.25,3.2,2.1,3,3.2
